route_id|visit_date|seller_code|customer_code|visit_city|planned_visits|actual_visits|km_travelled|travel_expense|road_toll|trip_status|notes
RT-00039|2024/02/10|VDR0047|CLI0103|Ben Arous|6|7|305,2|189,66|8,06|COMPLETED|Client absent
RT-00040|2025-05-09|VDR0027|CLI0068|Casablanca|7|5|54.3|34.39|46.09|COMPLETED|RAS
RT-00041|2024-05-23|VDR0019|CLI0134|Safi|3|3|131.8|89.02|46.40|PARTIAL|Client absent
RT-00042|2024-05-30|VDR0038|CLI0220|Meknès|7|6|170.6|78.68|13.76|COMPLETED|Client absent
RT-00043|18/12/2024|VDR0020|CLI0151|LYON|4|6|360.3|216.09|56.25|CANCELLED|Prospection
RT-00044|2024-08-18|VDR0040|CLI0053|La Marsa|4|6|105.8|80.54|51.30|PARTIAL|Livraison en attente
RT-00045|2024/08/21|VDR0026|CLI0094|Daloa|5|3|284.0|235.95|32.98|COMPLETED|Client absent
RT-00046|2024-09-19|VDR0024|CLI0177|Mbour|8|7|394.2|213.39|46.63|PARTIAL|Client absent
RT-00047|2025/06/19|vdr0039|cli0016|Daloa|3|5|99.1|74.79|31.02|COMPLETED|RAS
RT-00048|2024-08-08|VDR0063|CLI0077|CRÉTEIL|6|7|245.6|195.12|7.25|PARTIAL|Livraison en attente
RT-00049|2024-10-04|VDR0064|CLI0162|Mbour|6|7|86,5|56,72|61,84|CANCELLED|Client absent
RT-00050|2025-05-14|VDR0001|CLI0082|Lyon|6|7|376.8|244.29|11.62|COMPLETED|RAS
RT-00051|2024-08-25|VDR0028|CLI0079|Meknès|4|6|218.2|139.38|44.51|COMPLETED|Client absent
RT-00052|2024-11-29|VDR0061|CLI0168|Nanterre|5|5|256.1|138.68|17.09|COMPLETED|Livraison en attente
RT-00053|06/02/2025|VDR0054|CLI0002|Rufisque|5|3|323.7|271.09|22.98|COMPLETED|Prospection
RT-00054|2025/01/17|VDR0004|CLI0083|Sfax|5|5|188,1|126,63|48,04|CANCELLED|Livraison en attente
RT-00055|2025-04-26| VDR0006 |cli0200|Thiès|7|8|282.1|155.14|64.15|COMPLETED|RAS
RT-00056|2024-11-28|vdr0053|CLI0212|Bouaké|3|5|76.5|43.57|13.00|COMPLETED|RAS
RT-00057|2024-11-17|VDR0047|CLI0232|MEKNÈS|7|6|327.9|171.71|30.44|COMPLETED|Relance devis
RT-00058|2025-03-13|VDR0051|CLI0207|Rufisque|2|4|212,0|100,51|64,33|COMPLETED|Prospection
RT-00059|2024-03-09|VDR0010|CLI0145|Créteil|6|4|52.3|34.66|51.91|COMPLETED|Prospection
RT-00060|2025-04-21|VDR0058|CLI0228|SAFI|7|6|371.6|263.90|4.75|COMPLETED|RAS
RT-00061|2025-02-03|VDR0003|CLI0003|Settat|5|4|106.2|58.79|14.49|PARTIAL|Livraison en attente
RT-00062|2024/06/05| VDR0025 |CLI0198|Dakar|4|3|75.1|36.83|34.67|COMPLETED|Client absent
RT-00063|2024/11/06|VDR0021|CLI0109|Essaouira|3|2|416.4|316.02|1.77|COMPLETED|RAS
RT-00064|2025-04-02|VDR0057|CLI0103|Ben Arous|8|9|95,4|65,45|8,10|PARTIAL|Prospection
RT-00065|2024-11-20|vdr0054|cli0049|Rufisque|2|4|100.2|59.51|16.59|CANCELLED|RAS
RT-00066|20/03/2025|VDR0039|CLI0059|Ben Arous|2|3|419.9|336.08|1.03|COMPLETED|Livraison en attente
RT-00067|2024-06-08|VDR0018|CLI0178|Saint-Étienne|2|0|205,3|141,35|13,64|COMPLETED|Client absent
RT-00068|2025-01-08|VDR0015|CLI0202|PARIS|5|4|80.8|46.25|40.65|PARTIAL|Relance devis
RT-00069|17/02/2024|VDR0049|CLI0196|Essaouira|6|5|257.4|132.12|0.97|PARTIAL|Livraison en attente
RT-00070|2025-03-26|VDR0018|CLI0220|Meknès|7|5|259.3|148.99|30.52|PARTIAL|Livraison en attente
RT-00071|19/07/2024|vdr0017|CLI0057|Thiès|8|7|223,5|120,74|5,34|COMPLETED|Prospection
RT-00072|2025-04-18|VDR0035|CLI0195|Saint-Étienne|4|5|379.3|227.55|9.44|COMPLETED|RAS
RT-00073|2024-08-31|VDR0021|CLI0102|Grenoble|6|7|145.6|93.70|22.35|COMPLETED|Prospection
RT-00074|2025-06-10|VDR0044|CLI0087|Guédiawaye|3|3|418,7|245,52|56,68|COMPLETED|RAS
RT-00075|2024-05-09|VDR0013|CLI0059|Ben Arous|8|6|409.9|204.18|46.33|COMPLETED|Livraison en attente
RT-00076|2024/07/18|VDR0019|CLI0216|La Marsa|8|6|290.6|153.86|48.40|COMPLETED|Livraison en attente
RT-00077|2024-06-19|VDR0048|CLI0041|Rufisque|3|5|55,6|30,05|60,49|COMPLETED|Relance devis
RT-00078|2025-06-18|vdr0054|CLI0229|BEN AROUS|4|3|208.0|153.63|19.50|PARTIAL|Client absent
RT-00079|2024-05-27|VDR0062|CLI0211|Abidjan|8|7|79.9|48.46|10.36|COMPLETED|Livraison en attente
RT-00080|2024-06-04|VDR0027|CLI0114|Daloa|4|4|72,7|33,03|7,62|PARTIAL|Relance devis
RT-00081|2024-06-06|vdr0010|CLI0226|Ben Arous|7|7|411,5|329,24|61,72|PARTIAL|Relance devis
RT-00082|2024-10-25|VDR0029|CLI0134|Safi|7|9|56,7|47,28|56,23|PARTIAL|Prospection
RT-00083|2024-09-14|VDR0043|CLI0108|Meknès|4|4|285,1|137,77|6,57|COMPLETED|Livraison en attente
RT-00084|2025-01-19|VDR0049|CLI0011|Cocody|6|4|258.7|175.98|7.64|COMPLETED|Relance devis
RT-00085|16/04/2025| VDR0005 |CLI0103|Ben Arous|7|8|344.3|247.08|1.67|PARTIAL|Prospection
RT-00086|2025-01-02|VDR0045|CLI0091|La Marsa|3|3|409.3|257.21|3.11|COMPLETED|Relance devis
RT-00087|2024-12-22|VDR0023|CLI0217|Kénitra|2|2|217,4|128,42|34,99|COMPLETED|Client absent
RT-00088|26/01/2025|VDR0026|CLI0068|Casablanca|5|5|361,7|211,52|28,45|COMPLETED|Livraison en attente
RT-00089|30/10/2024|VDR0023|CLI0102|Grenoble|2|1|265,5|129,39|46,26|COMPLETED|Relance devis
RT-00090|2024-04-16|vdr0038|CLI0158|Abidjan|2|2|245.9|208.96|28.76|COMPLETED|Client absent
RT-00091|2025-03-26|VDR0028|CLI0038|Salé|3|1|20.0|15.86|31.41|COMPLETED|Relance devis
RT-00092|2024-09-24|VDR0047|CLI0206|Fès|5|5|339.7|202.40|60.16|PARTIAL|Livraison en attente
RT-00093|2024-05-11|VDR0013|CLI0235|Rufisque|6|7|332.6|220.89|6.81|COMPLETED|RAS
RT-00094|2025/04/16|VDR0057|CLI0128|Fès|2|1|254.4|116.73|29.15|COMPLETED|Prospection
RT-00095|2024-01-29|VDR0063|CLI0111|Yopougon|3|4|300.2|160.93|29.39|COMPLETED|Livraison en attente
RT-00096|18/11/2024| vdr0001 |CLI0157|Sfax|8|8|36,5|25,00|50,35|PARTIAL|Client absent
RT-00097|2024-07-04|VDR0004|CLI0167|Sfax|7|5|391.2|227.96|6.12|COMPLETED|Prospection
RT-00098|29/12/2024|VDR0023|CLI0182|SAFI|4|5|189.3|92.06|16.93|COMPLETED|Livraison en attente
RT-00099|2024-03-03|vdr0008|cli0175|Tivaouane|3|1|166.1|138.77|34.39|COMPLETED|Livraison en attente
RT-00100|2025-05-25|VDR0024|CLI0138|Tunis|4|2|103,4|82,60|59,32|PARTIAL|RAS
RT-00101|2024-02-09|VDR0016|CLI0207|Rufisque|4|2|393.4|231.96|11.73|CANCELLED|Livraison en attente
RT-00102|02/02/2025|VDR0058|CLI0030|Guédiawaye|2|2|285,8|156,76|9,19|COMPLETED|Livraison en attente
RT-00103|2024-04-11|VDR0012|CLI0170|Nanterre|6|8|280,2|190,55|34,58|COMPLETED|Relance devis
RT-00104|2025-01-21|VDR0011|CLI0126|SFAX|2|2|24.7|16.66|39.63|CANCELLED|Prospection
RT-00105|2024-06-26|VDR0041|CLI0190|Ben Arous|2|0|34.4|28.78|25.02|COMPLETED|RAS
RT-00106|2024-08-07|VDR0013|cli0118|Guédiawaye|3|3|399.7|191.53|13.23|COMPLETED|Client absent
RT-00107|2024-12-04|VDR0023|CLI0100|Rufisque|4|5|349.8|163.67|9.21|COMPLETED|Prospection
RT-00108|2025/02/23|VDR0002|cli0107|Thiès|5|5|348.5|274.29|12.32|COMPLETED|RAS
RT-00109|2024-04-27|VDR0015|CLI0041|Rufisque|5|3|380.4|199.08|21.28|COMPLETED|RAS
RT-00110|02/05/2024|VDR0051|CLI0211|Abidjan|3|1|373,7|251,09|32,37|COMPLETED|RAS
RT-00111|2024-09-04|VDR0056|CLI0158|ABIDJAN|7|6|165,2|103,55|49,99|COMPLETED|Prospection
RT-00112|2024-06-28| VDR0045 |CLI0119|Abidjan|7|5|96.3|58.41|9.95|COMPLETED|Client absent
RT-00113|25/06/2025|VDR0037|CLI0143|Grenoble|6|6|80.2|37.91|44.51|COMPLETED|RAS
RT-00114|27/08/2024|VDR0001|CLI0098|Abidjan|2|3|16.4|12.42|7.78|CANCELLED|Relance devis
RT-00115|16/10/2024|VDR0050|CLI0116|Abidjan|3|4|383.6|266.62|22.43|COMPLETED|Client absent
RT-00116|2025-02-01|vdr0033|CLI0226|Ben Arous|7|5|79,9|49,75|19,49|COMPLETED|Relance devis
RT-00117|2025-03-07|VDR0054|CLI0118|Guédiawaye|5|6|312.0|198.25|21.96|PARTIAL|Livraison en attente
RT-00118|2025-01-07|VDR0060|CLI0141|Safi|8|9|364.3|218.55|19.95|COMPLETED|Client absent
RT-00119|2024-08-10| VDR0044 |CLI0142|Settat|7|8|375.4|309.65|28.07|PARTIAL|Relance devis
RT-00120|2024/07/21|VDR0020|CLI0106|MOHAMMEDIA|3|2|143,2|108,12|31,63|COMPLETED|RAS
RT-00121|2024-12-05| VDR0012 |CLI0081|Sfax|4|3|392.3|293.22|62.27|COMPLETED|Prospection
RT-00122|2024-04-13|VDR0021|CLI0231|Salé|3|4|371.6|184.82|59.17|COMPLETED|Client absent
RT-00123|2025-03-31|vdr0013|CLI0194|Settat|5|6|30,9|18,59|11,08|CANCELLED|Livraison en attente
RT-00124|2024-12-18|VDR0044|CLI0022|Mbour|2|1|374.0|188.49|19.51|COMPLETED|RAS
RT-00125|2024/12/29|VDR0064|CLI0005|Marrakech|6|7|266,9|225,98|23,74|COMPLETED|Prospection
RT-00126|26/09/2024|vdr0058|CLI0111|Yopougon|4|5|151.7|108.28|21.64|COMPLETED|Relance devis
RT-00127|2025-01-24|VDR0050|CLI0010|Taza|4|5|296.6|173.29|52.20|COMPLETED|Prospection
RT-00128|2024-03-26|vdr0058|CLI0236|Mahres|8|8|287,1|228,13|58,23|COMPLETED|RAS
RT-00129|2024-03-18|VDR0002|CLI0186|Paris|8|8|20.4|16.28|40.13|COMPLETED|Client absent
RT-00130|2024-07-23|VDR0011|CLI0048|Saint-Étienne|2|0|52.1|32.47|44.56|COMPLETED|Client absent
RT-00131|2025-04-25|vdr0037|CLI0188|Dakar|8|6|288,8|181,08|32,99|PARTIAL|Client absent
RT-00132|2024-07-10|VDR0042|CLI0194|Settat|3|4|416.8|293.48|38.50|COMPLETED|Prospection
RT-00133|2024-10-15|VDR0021|CLI0017|Rufisque|5|5|40.0|32.44|3.93|COMPLETED|Prospection
RT-00134|2024-03-08|VDR0034|CLI0187|LYON|5|5|355.1|265.22|31.23|COMPLETED|Relance devis
RT-00135|2025-04-17|VDR0042|CLI0237|Grenoble|5|6|337.5|269.15|30.19|PARTIAL|Client absent
RT-00136|2025-02-13| VDR0047 |CLI0004|La Marsa|8|7|190.9|97.44|61.49|PARTIAL|Livraison en attente
RT-00137|2024/10/11|VDR0030|cli0049|Rufisque|7|8|212,0|132,11|61,58|COMPLETED|Client absent
RT-00138|2025-06-15|VDR0064|CLI0206|Fès|5|3|102.6|85.44|41.05|COMPLETED|Client absent
RT-00139|2025-01-13|VDR0061|CLI0017|Rufisque|4|5|22.2|12.18|61.40|COMPLETED|Prospection
RT-00140|2024-07-18|VDR0017|CLI0083|Sfax|6|5|331.5|243.07|39.61|COMPLETED|Prospection
RT-00141|2024-03-24|VDR0063|CLI0119|Abidjan|7|7|259.1|123.53|25.32|COMPLETED|Prospection
RT-00142|2025-05-09|VDR0019|CLI0201|Rabat|4|5|125,5|105,94|39,31|PARTIAL|Client absent
RT-00143|20/06/2025|VDR0065|CLI0073|Safi|5|6|115.5|84.34|55.43|COMPLETED|Client absent
RT-00144|02/04/2025|VDR0049|CLI0143|Grenoble|5|5|78,6|38,76|17,78|COMPLETED|Prospection
RT-00145|2025/05/03|VDR0048|CLI0037|Tivaouane|7|8|142,7|95,62|40,88|COMPLETED|Livraison en attente
RT-00146|2024-02-27|VDR0017|CLI0128|Fès|2|1|40.9|20.88|33.98|COMPLETED|Livraison en attente
RT-00147|2024-03-04|VDR0054|CLI0165|Casablanca|7|6|334,8|224,06|5,82|COMPLETED|Client absent
RT-00148|2025-05-05|VDR0006|CLI0011|COCODY|3|2|103,7|86,25|8,95|COMPLETED|Relance devis
RT-00149|2024-03-10|VDR0006|CLI0052|Bouaké|3|2|253,8|173,37|0,46|PARTIAL|Livraison en attente
RT-00150|2024-10-15|VDR0035|CLI0143|Grenoble|5|4|166.6|130.60|49.02|CANCELLED|Livraison en attente
RT-00151|2025-02-19|VDR0027|CLI0048|Saint-Étienne|5|3|60.6|45.28|56.83|COMPLETED|RAS
RT-00152|2024-08-23|VDR0033|CLI0056|Créteil|4|2|222.0|119.12|11.76|CANCELLED|Relance devis
RT-00153|2024-10-19|VDR0032|CLI0020|THIÈS|2|0|264,6|184,61|55,72|COMPLETED|Client absent
RT-00154|2025-03-09|VDR0048|CLI0020|Thiès|7|5|128.4|73.06|2.27|COMPLETED|RAS
RT-00155|2025/05/02|VDR0023|cli0004|La Marsa|7|6|60.6|38.31|57.62|COMPLETED|Relance devis
RT-00156|2024-01-31|VDR0005|CLI0128|Fès|5|6|190.2|98.91|0.86|COMPLETED|Prospection
RT-00157|2024-07-11|VDR0031|CLI0177|Mbour|2|0|196,4|157,00|54,30|COMPLETED|Relance devis
RT-00158|2025-04-28|VDR0021|CLI0096|Cocody|4|6|281.7|187.70|20.85|COMPLETED|Relance devis
RT-00159|21/02/2025|VDR0047|CLI0111|Yopougon|4|3|50,0|29,16|23,31|PARTIAL|Client absent
RT-00160|2024-12-15|VDR0021|CLI0218|Sfax|3|2|338.5|263.99|25.76|COMPLETED|Client absent
RT-00161|2024-08-20|VDR0043|CLI0126|Sfax|7|7|62.4|41.77|25.67|COMPLETED|Client absent
RT-00162|2024-07-11|VDR0001|CLI0229|Ben Arous|6|4|336.4|218.01|59.53|COMPLETED|RAS
RT-00163|01/02/2024|vdr0038|CLI0031|Créteil|8|6|98.9|47.16|29.42|COMPLETED|Prospection
RT-00164|2025-03-14|VDR0062|CLI0163|Thiès|2|3|264.0|221.97|32.50|COMPLETED|Prospection
RT-00165|2025-05-17|vdr0004|CLI0098|Abidjan|5|3|30.7|19.65|35.34|CANCELLED|RAS
RT-00166|2024-11-26|vdr0040|CLI0142|Settat|8|9|329.8|176.98|26.69|COMPLETED|Livraison en attente
RT-00167|2025/02/01|VDR0007|CLI0065|Tunis|7|9|252,2|163,03|58,65|COMPLETED|Relance devis
RT-00168|2024-09-12|VDR0001|CLI0100|Rufisque|8|7|329.2|249.86|2.85|PARTIAL|RAS
RT-00169|2024-06-17|VDR0018|CLI0034|Settat|6|8|314.8|144.64|32.25|COMPLETED|Relance devis
RT-00170|08/03/2025|VDR0009|CLI0017|Rufisque|7|7|50,3|32,18|32,96|COMPLETED|Livraison en attente
RT-00171|2025-01-17|vdr0034|CLI0123|Rabat|8|7|42.1|28.75|7.53|COMPLETED|Livraison en attente
RT-00172|2024/09/29|VDR0002|CLI0078|Saint-Étienne|3|3|371.6|304.08|55.94|COMPLETED|RAS
RT-00173|2024-05-29|vdr0017|CLI0220|Meknès|8|6|221.5|142.00|64.34|COMPLETED|Relance devis
RT-00174|2024-02-13|VDR0042|CLI0200|Thiès|3|3|174.8|105.98|39.42|PARTIAL|Client absent
RT-00175|2024-09-04|vdr0037|CLI0128|Fès|5|7|328.1|151.70|4.31|PARTIAL|Prospection
RT-00176|2024-11-06|VDR0042|CLI0236|Mahres|5|7|139.8|90.19|49.23|COMPLETED|Relance devis
RT-00177|2024-12-16|VDR0009|CLI0065|Tunis|4|4|269,8|185,56|14,81|COMPLETED|Prospection
RT-00178|2024-09-27|VDR0055|CLI0172|Dakar|8|10|281,9|227,27|9,05|COMPLETED|Client absent
RT-00179|2024-04-30|VDR0038|CLI0164|Mahres|6|6|115.0|60.17|42.09|COMPLETED|Prospection
RT-00180|2024-05-07|VDR0049|CLI0209|Saint-Étienne|5|3|238.0|113.44|52.78|COMPLETED|Relance devis
RT-00181|16/05/2025|VDR0014|cli0122|Mohammedia|4|2|192,1|97,18|7,99|COMPLETED|RAS
RT-00182|2025-03-09|VDR0027|CLI0011|Cocody|6|4|376.0|170.68|21.94|COMPLETED|Client absent
RT-00183|04/06/2024|VDR0003|cli0142|Settat|8|7|251.6|130.51|62.82|CANCELLED|Relance devis
RT-00184|2024-05-07|VDR0013|CLI0064|Cocody|3|2|357.4|226.52|10.77|COMPLETED|Client absent
RT-00185|2024-08-25|VDR0013|CLI0217|Kénitra|7|8|48.2|30.22|48.05|PARTIAL|Livraison en attente
RT-00186|2024-12-16|VDR0042|CLI0006|Saint-Étienne|6|7|217.1|170.49|39.43|COMPLETED|Relance devis
RT-00187|2024-10-07|vdr0032|CLI0184|Grenoble|3|4|132.7|91.59|30.53|COMPLETED|Relance devis
RT-00188|21/01/2024|VDR0063|CLI0112|Mohammedia|5|3|308,3|192,67|22,63|COMPLETED|Livraison en attente
RT-00189|19/07/2024|vdr0005|cli0098|Abidjan|8|7|162.7|79.07|59.53|COMPLETED|Relance devis
RT-00190|2024-10-12|VDR0024|CLI0059|Ben Arous|3|5|180.8|86.19|56.67|COMPLETED|Relance devis
RT-00191|20/06/2024|vdr0031|CLI0005|Marrakech|3|5|342.1|251.45|4.38|PARTIAL|Client absent
RT-00192|30/06/2025|vdr0024|cli0063|Salé|4|3|333,7|252,46|33,36|COMPLETED|Livraison en attente
RT-00193|11/01/2025| VDR0036 |CLI0119|Abidjan|3|1|114,5|84,20|10,54|COMPLETED|Relance devis
RT-00194|17/02/2025|VDR0060|CLI0166|Tunis|4|6|397.0|270.35|54.45|COMPLETED|RAS
RT-00195|2025-01-11|VDR0039|cli0030|Guédiawaye|5|6|259,8|155,98|24,29|PARTIAL|Client absent
RT-00196|05/11/2024|VDR0051|CLI0063|Salé|3|4|72.6|40.01|25.95|COMPLETED|RAS
RT-00197|2024-10-29|VDR0048|cli0014|Settat|5|6|157,0|75,56|19,11|COMPLETED|Livraison en attente
RT-00198|2024-06-18|VDR0002|cli0026|Taza|7|9|74.1|41.34|1.60|COMPLETED|RAS
RT-00199|13/06/2025|VDR0016|CLI0227|Tunis|5|6|192.6|145.50|2.35|COMPLETED|Relance devis
RT-00200|30/09/2024| VDR0019 |cli0037|Tivaouane|3|1|323.7|225.54|17.92|PARTIAL|Client absent
RT-00201|2025-03-13| VDR0033 |CLI0235|RUFISQUE|2|1|100.3|79.59|17.26|COMPLETED|Prospection
RT-00202|2025-01-16|VDR0061|CLI0067|Sfax|6|6|248.7|174.74|21.22|COMPLETED|RAS
RT-00203|2025/03/20|VDR0062|CLI0070|Taza|6|6|147,9|96,07|47,08|PARTIAL|Client absent
RT-00204|20/04/2025|VDR0020|CLI0238|Bouaké|6|8|54.9|32.68|48.26|COMPLETED|Prospection
RT-00205|2024-02-28|VDR0056|CLI0104|Ben Arous|3|4|345.1|220.61|1.99|COMPLETED|Client absent
RT-00206|2024-10-20|VDR0032|CLI0157|Sfax|4|3|340.8|234.88|38.57|CANCELLED|Client absent
RT-00207|2024/02/22|VDR0001|CLI0121|Kénitra|3|3|86.9|73.30|23.84|COMPLETED|Livraison en attente
RT-00208|2024/03/25|VDR0006|CLI0158|Abidjan|3|2|15.1|12.21|53.57|COMPLETED|Prospection
RT-00209|2024-06-10|VDR0013|CLI0128|Fès|7|7|260,6|120,61|55,39|COMPLETED|Client absent
RT-00210|12/11/2024|VDR0042|CLI0054|Paris|3|2|112.5|52.28|3.82|COMPLETED|Prospection
RT-00211|2024-09-01|VDR0062|CLI0112|MOHAMMEDIA|7|9|181,0|134,26|19,67|PARTIAL|Prospection
RT-00212|2025-02-02|VDR0024|CLI0209|Saint-Étienne|7|8|216.5|165.30|56.07|PARTIAL|Client absent
RT-00213|2024-01-08|VDR0022|CLI0065|Tunis|5|5|183.4|93.40|57.47|COMPLETED|Prospection
RT-00214|2025-01-16|VDR0044|CLI0001|Essaouira|8|10|57.4|30.46|9.61|CANCELLED|Client absent
RT-00215|2025-03-21|VDR0006|cli0117|La Marsa|6|8|405,5|229,54|64,79|COMPLETED|Relance devis
RT-00216|2024-08-24|vdr0041|CLI0214|RABAT|5|5|254.3|144.98|42.38|CANCELLED|Relance devis
RT-00217|2024-09-01| VDR0051 |CLI0001|Essaouira|2|2|189.2|125.65|58.47|COMPLETED|Relance devis
RT-00218|06/08/2024|VDR0037|CLI0200|Thiès|3|4|61.9|41.74|21.36|COMPLETED|Client absent
RT-00219|2024-09-21|VDR0022|CLI0169|Sfax|4|5|133.4|68.67|27.72|COMPLETED|Client absent
RT-00220|2024-05-04|VDR0001|CLI0062|Paris|8|8|41,7|34,86|7,37|COMPLETED|RAS
RT-00221|2024/12/30|vdr0012|CLI0091|La Marsa|8|7|86,4|57,73|16,27|COMPLETED|Livraison en attente
RT-00222|2024-07-17|VDR0062|CLI0237|Grenoble|4|2|321,7|188,54|25,30|PARTIAL|RAS
RT-00223|2024-08-20|vdr0064|cli0143|Grenoble|5|5|327.2|231.33|12.94|COMPLETED|RAS
RT-00224|2024-11-18|VDR0060|CLI0022|Mbour|2|4|69,3|45,61|49,80|PARTIAL|Prospection
RT-00225|2024-09-08|VDR0040|CLI0138|Tunis|4|2|348,0|276,13|3,57|COMPLETED|RAS
RT-00226|27/06/2025|VDR0047|CLI0020|Thiès|7|7|216.8|132.84|1.70|COMPLETED|RAS
RT-00227|2024-04-07| vdr0034 |CLI0197|MARRAKECH|2|1|150.2|102.22|37.84|COMPLETED|Livraison en attente
RT-00228|31/10/2024|vdr0039|CLI0026|Taza|8|6|377,6|217,03|57,07|COMPLETED|Relance devis
RT-00229|13/02/2024|VDR0061|CLI0208|Sfax|6|4|161.3|89.64|38.41|PARTIAL|RAS
RT-00230|2025-04-26|VDR0028|CLI0187|Lyon|3|5|301.8|164.61|26.51|COMPLETED|Livraison en attente
RT-00231|2025/02/01|VDR0025|CLI0212|Bouaké|4|3|228.8|139.98|38.40|COMPLETED|RAS
RT-00232|19/02/2025|vdr0025|CLI0192|Casablanca|3|5|117.4|61.49|41.65|PARTIAL|Relance devis
RT-00233|2024/05/16| VDR0028 |CLI0071|Daloa|6|4|403.6|286.86|46.62|PARTIAL|Prospection
